rodada,id_clube_home,id_clube_away,data
28,266,262,2021-10-23
28,277,327,2021-10-23
28,356,293,2021-10-23
28,286,354,2021-10-23
28,282,1371,2021-10-24
28,285,264,2021-10-24
28,265,315,2021-10-24
28,280,276,2021-10-24
28,373,284,2021-10-25
28,275,292,2021-10-26
